Exam,Anxiety,Preparation
46.03283764,3.26,3.67
35.09885044,3.89,3.79
52.27614874,4.12,2.96
61.20200323,5.04,4.56
60.39630155,4.01,4.59
45.74945407,3.69,4.51
59.80768426,4.47,3.33
85.79403044,5.26,4.14
65.48267426,4.57,4.83
47.21609594,3.82,3.15
43.16060967,5.89,3.15
51.07010075,4.64,3.57
33.78840084,4.46,3.18
33.90553684,3.1,3.09
62.65553209,4.79,4.14
47.28114309,4.04,4.03
49.59465799,4.37,3.7
83.08101797,5.04,4.55
64.77868055,5.07,4.08
66.88207362,3.47,4.75
40.48922984,4.97,3.89
60.46667527,4.25,4.37
70.12397332,4.08,3.43
11.20280343,2.46,3.2
47.10373271,4.39,4.13
46.10684385,4.89,3.01
53.6211661,4.35,3.81
24.12959456,2.56,3.95
45.31023978,4.03,4.14
74.78420388,4.13,4.15
70.11170872,5.45,3.83
63.32477189,3.84,4.53
24.80623384,4.57,4.14
62.56875242,4.23,3.65
41.06904876,2.46,4.24
35.9523647,3.85,3.31
43.16197652,3.82,3.93
62.68169657,3.41,4.57
56.20586839,4.08,4.64
71.75879648,4.65,4.06
51.52426679,3.91,3.6
43.01186184,3.72,4
62.62417393,4.73,4.51
46.04533109,4.74,4.18
4.045475057,2.64,4.3
36.30662283,3.33,3.57
52.71410758,4.24,3.65
54.28048132,4.39,4.52
49.08114018,4.4,2.64
67.2079965,4.5,4.48
51.20902325,4.19,4.35
41.31828425,3.66,3.54
71.82487994,4.92,3.47
29.91389324,2.63,3.17
76.40512174,4.34,5.32
84.69693677,5.64,4.31
56.62384741,4.02,2.45
40.81136635,3.39,3.96
36.01721298,4,3.82
43.77877289,4.25,3.59
99.59467074,6.74,4.29
38.73203102,3.59,3.84
50.89168606,3.96,4.54
60.67488902,4.5,3.63
37.28456665,4.22,3.33
41.83984108,4.53,4.65
54.23382205,3.05,3.06
87.46540006,5.69,4.48
66.92707818,4.61,3.66
81.17543113,5.2,5.28
51.00508905,4.35,3.53
19.8151808,3.67,4.12
63.76251425,4.31,4.61
42.4899038,3.5,3.27
14.67713892,2.46,3.82
53.90512948,4.33,4.61
68.37691439,4.18,4.1
67.03098019,4.18,5.09
41.21709066,4.44,2.85
45.60112494,4.01,3.04
22.30493158,3.79,2.9
62.21868793,3.99,3.96
43.4326702,4.3,5.25
